Date,Closing_Price
2024-03-26,41.07
2024-03-27,41.18
2024-03-28,41.61
2024-04-01,41.99
2024-04-02,41.21
2024-04-03,40.47
2024-04-04,39.92
2024-04-05,40.95
2024-04-08,40.87
2024-04-09,40.61
2024-04-10,39.44
2024-04-11,39.73
2024-04-12,38.92
2024-04-15,38.62
2024-04-16,39.13
2024-04-17,38.37
2024-04-18,38.19
2024-04-19,37.81
2024-04-22,38.13
2024-04-23,38.36
2024-04-24,37.92
2024-04-25,37.64
2024-04-26,38.05
2024-04-29,38.49
2024-04-30,38.4
2024-05-01,37.83
2024-05-02,37.6
2024-05-03,39.15
2024-05-06,40.07
2024-05-07,40.18
2024-05-08,40.56
2024-05-09,43.19
2024-05-10,44.29
2024-05-13,44.59
2024-05-14,44.44
2024-05-15,44.1
2024-05-16,43.2
2024-05-17,43.02
2024-05-20,43.2
2024-05-21,44.15
2024-05-22,43.94
2024-05-23,43.25
2024-05-24,43.52
2024-05-28,43.5
2024-05-29,42.31
2024-05-30,42.15
2024-05-31,43.13
2024-06-03,42.94
2024-06-04,42.71
2024-06-05,43.32
2024-06-06,42.39
2024-06-07,43.76
2024-06-10,43.88
2024-06-11,44.17
2024-06-12,46.63
2024-06-13,47.0
2024-06-14,46.73
2024-06-17,48.26
2024-06-18,51.89
2024-06-20,50.91
2024-06-21,51.04
2024-06-24,50.73
2024-06-25,49.25
2024-06-26,50.97
2024-06-27,53.69
2024-06-28,54.35
2024-07-01,52.11
2024-07-02,54.89
2024-07-03,56.75
2024-07-05,57.63
2024-07-08,56.57
2024-07-09,55.42
2024-07-10,53.46
2024-07-11,51.99
2024-07-12,52.94
2024-07-15,52.68
2024-07-16,53.08
2024-07-17,52.0
2024-07-18,50.74
2024-07-19,50.29
2024-07-22,50.62
2024-07-23,49.58
2024-07-24,47.33
2024-07-25,46.63
2024-07-26,47.22
2024-07-29,47.0
2024-07-30,46.9
2024-07-31,47.63
2024-08-01,47.04
2024-08-02,44.04
2024-08-05,43.59
2024-08-06,45.09
2024-08-07,43.25
2024-08-08,44.61
2024-08-09,43.18
2024-08-12,42.63
2024-08-13,42.62
2024-08-14,42.76
2024-08-15,44.16
2024-08-16,44.44
2024-08-19,45.29
2024-08-20,44.06
2024-08-21,45.31
2024-08-22,43.72
2024-08-23,44.53
2024-08-26,43.62
2024-08-27,43.33
2024-08-28,43.86
2024-08-29,43.97
2024-08-30,43.78
2024-09-03,43.91
2024-09-04,44.08
2024-09-05,43.55
2024-09-06,41.67
2024-09-09,40.89
2024-09-10,39.9
2024-09-11,38.93
2024-09-12,40.23
2024-09-13,40.88
2024-09-16,40.59
2024-09-17,41.52
2024-09-18,41.47
2024-09-19,42.18
2024-09-20,41.46
2024-09-23,41.34
2024-09-24,40.72
2024-09-25,40.0
2024-09-26,41.0
2024-09-27,40.68
2024-09-30,40.31
2024-10-01,38.55
2024-10-02,38.4
2024-10-03,37.2
2024-10-04,37.58
2024-10-07,38.91
2024-10-08,37.08
2024-10-09,36.96
2024-10-10,36.42
2024-10-11,38.04
2024-10-14,39.27
2024-10-15,39.19
2024-10-16,39.67
2024-10-17,40.34
2024-10-18,39.53
2024-10-21,40.0
2024-10-22,39.89
2024-10-23,39.37
2024-10-24,39.93
2024-10-25,40.53
2024-10-28,42.11
2024-10-29,42.43
2024-10-30,40.99
2024-10-31,39.41
2024-11-01,40.62
2024-11-04,41.61
2024-11-05,42.55
2024-11-06,45.64
2024-11-07,45.59
2024-11-08,45.44
2024-11-11,45.78
2024-11-12,45.8
2024-11-13,46.32
2024-11-14,46.55
2024-11-15,45.94
2024-11-18,45.65
2024-11-19,45.83
2024-11-20,46.1
2024-11-21,45.3
2024-11-22,45.43
2024-11-25,45.74
2024-11-26,46.07
2024-11-27,46.39
2024-11-29,46.19
2024-12-02,48.35
2024-12-03,47.21
2024-12-04,48.33
2024-12-05,47.51
2024-12-06,47.26
2024-12-09,46.64
2024-12-10,46.29
2024-12-11,46.14
2024-12-12,46.6
2024-12-13,46.1
2024-12-16,47.98
2024-12-17,47.51
2024-12-18,46.25
2024-12-19,46.4
2024-12-20,48.64
2024-12-23,48.77
2024-12-24,49.07
2024-12-26,49.64
2024-12-27,49.08
2024-12-30,48.26
2024-12-31,48.19
2025-01-02,47.77
2025-01-03,46.89
2025-01-06,49.01
2025-01-07,47.88
2025-01-08,47.0
2025-01-10,46.37
2025-01-13,46.21
2025-01-14,46.27
2025-01-15,44.71
2025-01-16,44.46
2025-01-17,44.38
2025-01-21,45.37
2025-01-22,45.49
2025-01-23,45.01
2025-01-24,43.77
